month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,-6404.9,-6408.44,-6586.28,-6611.73,-6775.35,-6904.26,-6396.87,-6283.21,-7515.19,-7456.24,-7879.41,-8084.0,-8348.56,-8123.16,-7526.69,-6988.56,-6097.46,-6023.51,-5798.7,-5881.48,-5518.78,-5840.42,-6058.26,-6006.6
2,-6359.26,-6640.56,-6959.09,-6719.62,-6625.53,-6456.53,-6345.53,-7021.33,-7344.68,-7831.14,-7451.59,-6996.66,-7205.87,-6724.08,-6325.1,-6125.77,-5821.51,-5697.62,-5476.46,-5741.33,-5792.06,-5986.28,-6229.81,-6359.9
3,-8070.59,-8012.03,-8340.39,-8057.73,-8142.16,-7833.68,-7806.27,-8450.43,-8474.49,-8278.54,-8341.04,-8296.82,-8288.3,-7548.53,-7494.9,-7399.3,-7229.92,-6866.93,-6897.81,-7082.0,-7327.29,-7661.09,-8015.54,-7992.39
4,-8232.61,-7994.75,-7702.99,-7788.46,-7350.43,-7268.67,-7851.16,-7909.46,-8019.99,-8269.86,-8862.76,-8759.38,-8275.02,-7451.98,-7396.1,-7579.17,-7533.47,-7334.77,-7296.73,-7657.38,-7607.67,-7835.03,-7806.5,-7819.31
5,-6249.46,-6247.93,-6245.86,-5934.22,-5685.65,-6140.43,-5870.22,-5634.16,-5373.04,-5387.17,-5858.74,-5559.52,-5227.81,-5262.59,-5402.89,-5873.84,-5518.07,-5886.92,-5634.18,-5307.34,-5484.94,-6069.32,-6039.58,-6319.4
6,-3827.57,-4211.29,-4519.64,-4032.78,-3295.59,-4427.47,-4615.43,-4092.41,-3543.79,-2988.79,-3017.47,-2831.71,-2540.23,-2675.16,-2830.5,-3554.61,-4050.43,-3994.46,-3378.36,-3215.72,-3501.42,-3504.69,-3658.73,-3656.57
7,-1081.04,-1272.28,-1461.87,-1078.81,-970.69,-1794.31,-1779.23,-1446.86,-1385.1,-981.49,-926.72,-644.36,-671.07,-817.46,-990.89,-1268.36,-1304.52,-1345.79,-1264.08,-1492.11,-1211.87,-890.91,-1083.82,-990.31
8,-691.13,-883.99,-829.28,-1057.55,-862.23,-1068.58,-1609.42,-1677.55,-1645.62,-1803.92,-1539.86,-1314.41,-1313.67,-1207.24,-1060.91,-1074.68,-881.17,-438.35,-73.89,-335.7,-675.56,-922.66,-60.5,-298.02
9,-2324.99,-2501.18,-2704.83,-3158.34,-3229.43,-2858.68,-3339.97,-4061.82,-4823.99,-4683.65,-4660.5,-4361.95,-3945.64,-3277.86,-2520.17,-1774.33,-1113.88,-300.32,81.78,-936.81,-1473.38,-1667.97,-1931.96,-2347.93
10,-4932.45,-4635.82,-4597.73,-5173.85,-5118.96,-4773.9,-4614.07,-5861.78,-5996.47,-6419.08,-6850.9,-6428.21,-6112.41,-5543.23,-5330.49,-4592.55,-3373.82,-2903.16,-3066.02,-3453.85,-4182.45,-4317.6,-4586.31,-4457.69
11,-5855.15,-5699.06,-5709.12,-5496.64,-5273.56,-4787.63,-4283.04,-5869.6,-6495.92,-6950.92,-6989.54,-6968.44,-7148.74,-6659.32,-6294.07,-5668.36,-4770.96,-4677.62,-4599.49,-5036.4,-5399.75,-5654.66,-5801.31,-5954.9
12,-5329.4,-5011.49,-5513.9,-5516.75,-5572.91,-5401.42,-4925.11,-5337.88,-6126.39,-6754.2,-6657.75,-6075.37,-6202.23,-5807.1,-5381.29,-5203.52,-4511.62,-4240.47,-4221.04,-4424.26,-4483.25,-4917.78,-4926.29,-5153.68
