date,deficit_MW
2050-01-01,-847.1283333333334
2050-01-02,1449.9720833333333
2050-01-03,1434.8225
2050-01-04,-255.975
2050-01-05,-777.0616666666666
2050-01-06,1668.835
2050-01-07,684.8458333333333
2050-01-08,677.2279166666667
2050-01-09,313.02333333333337
2050-01-10,479.74916666666667
2050-01-11,903.2379166666666
2050-01-12,-480.1145833333333
2050-01-13,732.7525
2050-01-14,1536.24125
2050-01-15,943.5962499999999
2050-01-16,332.60625
2050-01-17,133.17625
2050-01-18,-996.9533333333334
2050-01-19,-1266.8970833333333
2050-01-20,-264.3125
2050-01-21,1554.8541666666667
2050-01-22,2803.65625
2050-01-23,-1222.7654166666666
2050-01-24,-1908.0995833333334
2050-01-25,-726.5220833333333
2050-01-26,-266.8645833333333
2050-01-27,-606.6945833333333
2050-01-28,1513.6883333333333
2050-01-29,357.90291666666667
2050-01-30,1670.8983333333333
2050-01-31,2430.8108333333334
2050-02-01,1279.0795833333334
2050-02-02,1134.8808333333334
2050-02-03,-267.92083333333335
2050-02-04,761.8383333333333
2050-02-05,-543.6966666666666
2050-02-06,3195.065416666667
2050-02-07,2624.17
2050-02-08,1084.9991666666667
2050-02-09,839.8041666666667
2050-02-10,-112.63625000000002
2050-02-11,2002.993333333333
2050-02-12,1448.1762500000002
2050-02-13,-593.3058333333333
2050-02-14,1629.7524999999998
2050-02-15,-210.20083333333332
2050-02-16,-1005.3483333333334
2050-02-17,1191.6416666666667
2050-02-18,337.0679166666667
2050-02-19,377.7616666666667
2050-02-20,-215.48041666666666
2050-02-21,1571.5304166666665
2050-02-22,1158.4391666666668
2050-02-23,-523.1
2050-02-24,-1066.7762500000001
2050-02-25,-976.5475
2050-02-26,1724.5645833333335
2050-02-27,561.7641666666667
2050-02-28,583.2041666666667
2050-03-01,900.14875
2050-03-02,-1886.66375
2050-03-03,-1.7195833333333326
2050-03-04,-1356.28375
2050-03-05,1149.6229166666667
2050-03-06,1551.6691666666666
2050-03-07,-1407.6670833333335
2050-03-08,-185.23333333333335
2050-03-09,-882.3962500000001
2050-03-10,-678.5925
2050-03-11,-904.6604166666666
2050-03-12,-847.2704166666667
2050-03-13,-530.6279166666667
2050-03-14,-2571.1633333333334
2050-03-15,-2239.157083333333
2050-03-16,273.32666666666665
2050-03-17,746.3691666666667
2050-03-18,838.3116666666666
2050-03-19,397.4145833333334
2050-03-20,526.3283333333334
2050-03-21,-581.8233333333334
2050-03-22,-2008.2366666666667
2050-03-23,-1820.4991666666667
2050-03-24,560.8583333333333
2050-03-25,-212.01583333333335
2050-03-26,-514.46375
2050-03-27,2592.97
2050-03-28,-64.98208333333334
2050-03-29,-1070.19
2050-03-30,549.5
2050-03-31,-2079.4025
2050-04-01,-1938.5095833333335
2050-04-02,-893.6875
2050-04-03,-1456.79625
2050-04-04,-981.6433333333333
2050-04-05,-559.49375
2050-04-06,-486.30958333333336
2050-04-07,-856.9670833333333
2050-04-08,-25.45541666666668
2050-04-09,1046.9441666666667
2050-04-10,269.43458333333336
2050-04-11,-853.47375
2050-04-12,-798.8116666666666
2050-04-13,-1946.9025000000001
2050-04-14,-248.63541666666666
2050-04-15,-760.8874999999999
2050-04-16,-1892.9825
2050-04-17,637.5658333333333
2050-04-18,493.2895833333334
2050-04-19,-1367.61125
2050-04-20,-1141.2683333333332
2050-04-21,-818.8475
2050-04-22,-310.0225
2050-04-23,1055.1666666666667
2050-04-24,120.25625000000002
2050-04-25,712.2125
2050-04-26,-189.36125
2050-04-27,1062.3283333333334
2050-04-28,781.9579166666667
2050-04-29,-371.15958333333333
2050-04-30,-920.7554166666667
2050-05-01,1102.7008333333333
2050-05-02,657.9829166666667
2050-05-03,999.6533333333333
2050-05-04,1352.0979166666666
2050-05-05,228.20625000000004
2050-05-06,419.79875
2050-05-07,760.4641666666666
2050-05-08,1406.21875
2050-05-09,-118.6475
2050-05-10,158.45541666666665
2050-05-11,903.12125
2050-05-12,-79.60916666666667
2050-05-13,349.2
2050-05-14,2164.66
2050-05-15,-275.4270833333333
2050-05-16,-647.5375
2050-05-17,568.8925
2050-05-18,-456.94875
2050-05-19,-446.27833333333336
2050-05-20,-19.70958333333336
2050-05-21,2432.1179166666666
2050-05-22,1228.36
2050-05-23,1830.2941666666666
2050-05-24,957.7608333333333
2050-05-25,655.0875
2050-05-26,837.6820833333333
2050-05-27,562.79625
2050-05-28,-375.43250000000006
2050-05-29,-64.69375000000001
2050-05-30,273.64708333333334
2050-05-31,1309.1395833333333
2050-06-01,3014.0375
2050-06-02,3072.244583333333
2050-06-03,1376.4087499999998
2050-06-04,2455.0804166666667
2050-06-05,1842.5754166666666
2050-06-06,1874.51375
2050-06-07,1859.56375
2050-06-08,1087.035
2050-06-09,58.806666666666665
2050-06-10,649.5116666666667
2050-06-11,-1084.5441666666668
2050-06-12,717.0595833333333
2050-06-13,1464.4258333333335
2050-06-14,1443.7158333333334
2050-06-15,2019.1083333333333
2050-06-16,2280.56125
2050-06-17,2813.3454166666666
2050-06-18,1485.1599999999999
2050-06-19,1675.0020833333335
2050-06-20,1976.62625
2050-06-21,1595.1429166666667
2050-06-22,1353.5691666666667
2050-06-23,1427.8366666666668
2050-06-24,2759.25125
2050-06-25,3278.5345833333336
2050-06-26,2849.3104166666667
2050-06-27,1115.5333333333333
2050-06-28,2742.5004166666663
2050-06-29,2154.27
2050-06-30,1365.8825
2050-07-01,1586.5974999999999
2050-07-02,2577.579166666667
2050-07-03,3358.65625
2050-07-04,4514.757083333333
2050-07-05,3559.8925
2050-07-06,2806.254166666667
2050-07-07,2597.2795833333334
2050-07-08,3455.62625
2050-07-09,3502.8233333333333
2050-07-10,2650.805
2050-07-11,2769.3487499999997
2050-07-12,2174.1233333333334
2050-07-13,2919.40875
2050-07-14,2837.61125
2050-07-15,3528.9408333333336
2050-07-16,2867.8645833333335
2050-07-17,3057.3366666666666
2050-07-18,2876.9475
2050-07-19,3327.4166666666665
2050-07-20,3088.227083333333
2050-07-21,2444.6491666666666
2050-07-22,2208.9308333333333
2050-07-23,2006.8475
2050-07-24,3472.5933333333337
2050-07-25,2760.93375
2050-07-26,3247.742083333333
2050-07-27,2794.3679166666666
2050-07-28,3466.4420833333334
2050-07-29,2280.2033333333334
2050-07-30,2504.7904166666667
2050-07-31,3666.0141666666664
2050-08-01,3605.90375
2050-08-02,2642.87625
2050-08-03,2706.5829166666667
2050-08-04,2243.63125
2050-08-05,3897.655
2050-08-06,3667.3975000000005
2050-08-07,1210.54
2050-08-08,2434.88
2050-08-09,3136.931666666667
2050-08-10,3081.1270833333333
2050-08-11,2947.7883333333334
2050-08-12,2025.8845833333335
2050-08-13,2553.9383333333335
2050-08-14,3249.56125
2050-08-15,2885.7704166666667
2050-08-16,2081.50125
2050-08-17,3119.3229166666665
2050-08-18,2560.04625
2050-08-19,3101.4599999999996
2050-08-20,3896.96625
2050-08-21,2836.00375
2050-08-22,877.0929166666666
2050-08-23,2700.414166666667
2050-08-24,2897.0070833333334
2050-08-25,1988.7145833333334
2050-08-26,3019.0437500000003
2050-08-27,3289.4966666666664
2050-08-28,2473.565
2050-08-29,2472.741666666667
2050-08-30,2567.56625
2050-08-31,2993.3658333333333
2050-09-01,3491.09625
2050-09-02,3309.3641666666667
2050-09-03,3317.2491666666665
2050-09-04,2934.866666666667
2050-09-05,1703.5808333333334
2050-09-06,1455.0662499999999
2050-09-07,1944.8316666666667
2050-09-08,2178.6025
2050-09-09,2553.5075
2050-09-10,2361.570416666667
2050-09-11,2601.0741666666668
2050-09-12,2186.67625
2050-09-13,2377.6216666666664
2050-09-14,1678.4929166666668
2050-09-15,2204.9683333333332
2050-09-16,3381.96875
