SiteID,4203002,Site Timezone,-5,Data Timezone,-5,Longitude,-72.663574,Latitude,40.921963
Year,Month,Day,Hour,Minute,wind speed at 10m (m/s),wind speed at 60m (m/s)
2020,1,1,0,0,4.68,12
2020,1,1,1,0,4.11,10.450000000000001
2020,1,1,2,0,4.87,11.58
2020,1,1,3,0,3.99,9.53
2020,1,1,4,0,4.32,10.290000000000001
2020,1,1,5,0,4.53,10.6
2020,1,1,6,0,4.24,10.77
2020,1,1,7,0,5.2,12.35
2020,1,1,8,0,5.62,13.84
2020,1,1,9,0,7.86,11.540000000000001
2020,1,1,10,0,7.97,11.22
2020,1,1,11,0,8.68,12.200000000000001
2020,1,1,12,0,8.92,12.85
2020,1,1,13,0,8.74,12.33
2020,1,1,14,0,8.25,11.64
2020,1,1,15,0,7.75,11.4
2020,1,1,16,0,5.2700000000000005,12.030000000000001
2020,1,1,17,0,4.91,11.07
2020,1,1,18,0,5.3,12.47
2020,1,1,19,0,4.82,12.98
2020,1,1,20,0,5.48,12.94
2020,1,1,21,0,5.0200000000000005,12.64
2020,1,1,22,0,4.3500000000000005,11.33
2020,1,1,23,0,4.42,11.59
2020,1,2,0,0,3.5700000000000003,8.83
2020,1,2,1,0,3.94,9.620000000000001
2020,1,2,2,0,3.89,9.950000000000001
2020,1,2,3,0,2.38,9.63
2020,1,2,4,0,2.7600000000000002,8.08
2020,1,2,5,0,2.7,7.46
2020,1,2,6,0,2.5500000000000003,7.07
2020,1,2,7,0,1.84,6.26
2020,1,2,8,0,2.66,6.140000000000001
2020,1,2,9,0,3.85,5.15
2020,1,2,10,0,5.08,6.99
2020,1,2,11,0,5.51,7.390000000000001
2020,1,2,12,0,5.09,6.8100000000000005
2020,1,2,13,0,4.37,5.68
2020,1,2,14,0,4.51,6.390000000000001
2020,1,2,15,0,3.31,7.62
2020,1,2,16,0,3.49,8.58
2020,1,2,17,0,3.2800000000000002,9.11
2020,1,2,18,0,3.35,8.69
2020,1,2,19,0,3.5100000000000002,8.64
2020,1,2,20,0,2.87,7.8
2020,1,2,21,0,1.96,7.94
2020,1,2,22,0,0.62,6.26
2020,1,2,23,0,1.06,5.74
2020,1,3,0,0,1.29,8.31
2020,1,3,1,0,2.2600000000000002,8.33
2020,1,3,2,0,2.27,7.95
2020,1,3,3,0,2.54,8.06
2020,1,3,4,0,2.33,8.4
2020,1,3,5,0,2.69,8.78
2020,1,3,6,0,2.35,9.81
2020,1,3,7,0,2.11,9.450000000000001
2020,1,3,8,0,3.58,11.34
2020,1,3,9,0,4.98,11.790000000000001
2020,1,3,10,0,5.08,12.08
2020,1,3,11,0,6.72,10.34
2020,1,3,12,0,6.42,9.93
2020,1,3,13,0,6.5,10.02
2020,1,3,14,0,5.11,8.24
2020,1,3,15,0,2.86,7.25
2020,1,3,16,0,2.8000000000000003,8.08
2020,1,3,17,0,2.8000000000000003,9.77
2020,1,3,18,0,3.68,10.23
2020,1,3,19,0,4.3,10.370000000000001
2020,1,3,20,0,3.93,10.48
2020,1,3,21,0,4.14,10.27
2020,1,3,22,0,4.13,10.370000000000001
2020,1,3,23,0,3.31,8.620000000000001
2020,1,4,0,0,3.0100000000000002,7.88
2020,1,4,1,0,2.48,7.21
2020,1,4,2,0,1.75,5.91
2020,1,4,3,0,2.52,7.11
2020,1,4,4,0,1.78,6.91
2020,1,4,5,0,1.56,5.8500000000000005
2020,1,4,6,0,1.6500000000000001,5.95
2020,1,4,7,0,1.6500000000000001,5.96
2020,1,4,8,0,1.79,5.45
2020,1,4,9,0,1.7,5.7
2020,1,4,10,0,1.79,4.87
2020,1,4,11,0,1.95,2.8000000000000003
2020,1,4,12,0,2.24,2.63
2020,1,4,13,0,2.96,3.45
2020,1,4,14,0,2.73,3.5500000000000003
2020,1,4,15,0,2.34,3.68
2020,1,4,16,0,2.7600000000000002,4.72
2020,1,4,17,0,2.22,4.97
2020,1,4,18,0,2.2800000000000002,5.48
2020,1,4,19,0,3.47,7.88
2020,1,4,20,0,4.64,8.03
2020,1,4,21,0,4.79,8.73
2020,1,4,22,0,4.46,8.16
2020,1,4,23,0,5.11,8.4
2020,1,5,0,0,5.8100000000000005,8.47
2020,1,5,1,0,6.96,10.77
2020,1,5,2,0,6.390000000000001,11.85
2020,1,5,3,0,5.93,10.96
2020,1,5,4,0,5.45,12.31
2020,1,5,5,0,7.04,14.09
2020,1,5,6,0,7.48,15.49
2020,1,5,7,0,7.58,16.12
2020,1,5,8,0,6.49,13.91
2020,1,5,9,0,9.64,15.38
2020,1,5,10,0,10.790000000000001,15.51
2020,1,5,11,0,9.84,13.75
2020,1,5,12,0,9.52,13.370000000000001
