SiteID,4203002,Site Timezone,-5,Data Timezone,-5,Longitude,-72.663574,Latitude,40.921963
Year,Month,Day,Hour,Minute,wind speed at 10m (m/s),wind speed at 60m (m/s)
2015,1,1,0,0,1.51,5.17
2015,1,1,1,0,3.24,8.700000000000001
2015,1,1,2,0,3.16,8.15
2015,1,1,3,0,2.06,6.3100000000000005
2015,1,1,4,0,2.7800000000000002,5.66
2015,1,1,5,0,3.0300000000000002,5.87
2015,1,1,6,0,4.5,9.42
2015,1,1,7,0,4.95,11.19
2015,1,1,8,0,4.46,10.6
2015,1,1,9,0,6.38,9.58
2015,1,1,10,0,7.38,10.64
2015,1,1,11,0,7.67,10.66
2015,1,1,12,0,7.15,9.790000000000001
2015,1,1,13,0,6.75,9.56
2015,1,1,14,0,6.49,9.370000000000001
2015,1,1,15,0,5.95,8.33
2015,1,1,16,0,2.45,8.290000000000001
2015,1,1,17,0,2.5500000000000003,10.700000000000001
2015,1,1,18,0,3.14,9.99
2015,1,1,19,0,3.29,10.39
2015,1,1,20,0,4.45,11.34
2015,1,1,21,0,4.47,12.49
2015,1,1,22,0,4.01,13.08
2015,1,1,23,0,5.49,14.47
2015,1,2,0,0,5.65,14.120000000000001
2015,1,2,1,0,5,12.200000000000001
2015,1,2,2,0,4.39,10.94
2015,1,2,3,0,4.47,11.91
2015,1,2,4,0,4.89,12.07
2015,1,2,5,0,5.03,12.42
2015,1,2,6,0,5.62,12.950000000000001
2015,1,2,7,0,4.67,11.74
2015,1,2,8,0,3.77,8.9
2015,1,2,9,0,7.140000000000001,11.68
2015,1,2,10,0,8.14,12.09
2015,1,2,11,0,7.95,11.86
2015,1,2,12,0,8.02,11.44
2015,1,2,13,0,7.91,11.15
2015,1,2,14,0,7.25,10.08
2015,1,2,15,0,5.69,8.78
2015,1,2,16,0,3.9,9.32
2015,1,2,17,0,3.67,8.52
2015,1,2,18,0,3.2600000000000002,9.370000000000001
2015,1,2,19,0,2.5300000000000002,7.36
2015,1,2,20,0,3.5300000000000002,8.07
2015,1,2,21,0,3.62,7.84
2015,1,2,22,0,2.73,7.29
2015,1,2,23,0,1.99,6.34
2015,1,3,0,0,1.87,6.140000000000001
2015,1,3,1,0,2.12,5.98
2015,1,3,2,0,2.58,6
2015,1,3,3,0,2.49,6.67
2015,1,3,4,0,2.62,6.38
2015,1,3,5,0,2.98,7.29
2015,1,3,6,0,2.91,7.5600000000000005
2015,1,3,7,0,2.65,6.7
2015,1,3,8,0,2.39,6.4
2015,1,3,9,0,3.13,4.51
2015,1,3,10,0,4.65,5.94
2015,1,3,11,0,4.43,5.15
2015,1,3,12,0,4.5200000000000005,5.25
2015,1,3,13,0,3.99,4.5200000000000005
2015,1,3,14,0,3.96,4.72
2015,1,3,15,0,4.24,5.98
2015,1,3,16,0,2.2600000000000002,6.49
2015,1,3,17,0,1.98,7
2015,1,3,18,0,2.75,8.49
2015,1,3,19,0,3.4,9.81
2015,1,3,20,0,3.52,10.57
2015,1,3,21,0,3.2,10.790000000000001
2015,1,3,22,0,3.2800000000000002,11.02
2015,1,3,23,0,2.77,11.03
2015,1,4,0,0,3.63,11.47
2015,1,4,1,0,4.17,12.370000000000001
2015,1,4,2,0,5.23,13.15
2015,1,4,3,0,3.11,11.24
2015,1,4,4,0,5.86,13.06
2015,1,4,5,0,7.04,16.2
2015,1,4,6,0,5.8,14.17
2015,1,4,7,0,6.78,15.68
2015,1,4,8,0,6.5,15.120000000000001
2015,1,4,9,0,6.09,14.85
2015,1,4,10,0,7.74,18.13
2015,1,4,11,0,9.34,20.62
2015,1,4,12,0,10.49,22.990000000000002
2015,1,4,13,0,9.13,20.56
2015,1,4,14,0,8.98,19.28
2015,1,4,15,0,8.120000000000001,18.59
2015,1,4,16,0,8,18.64
2015,1,4,17,0,8.11,18.02
2015,1,4,18,0,8.49,18.42
2015,1,4,19,0,7.390000000000001,17.03
2015,1,4,20,0,8.16,19.89
2015,1,4,21,0,7.51,18.13
2015,1,4,22,0,6.25,14.620000000000001
2015,1,4,23,0,6.79,15.34
2015,1,5,0,0,6.13,13.61
2015,1,5,1,0,6.44,14.700000000000001
2015,1,5,2,0,7.3,16.01
2015,1,5,3,0,6.05,13.36
2015,1,5,4,0,6.5600000000000005,14.56
2015,1,5,5,0,7.92,18.22
2015,1,5,6,0,7.04,16.17
2015,1,5,7,0,6.09,13.9
2015,1,5,8,0,8.77,13
2015,1,5,9,0,11.4,16.71
2015,1,5,10,0,11.84,17.26
2015,1,5,11,0,11.44,16.55
2015,1,5,12,0,10.8,15.16
2015,1,5,13,0,9.81,13.88
2015,1,5,14,0,10.09,14.61
2015,1,5,15,0,9.64,13.58
2015,1,5,16,0,9.57,14.040000000000001
2015,1,5,17,0,8.73,15.65
2015,1,5,18,0,10.73,16.45
2015,1,5,19,0,8.96,13.280000000000001
2015,1,5,20,0,9.9,15.05
2015,1,5,21,0,8.94,13.68
2015,1,5,22,0,8.83,13.16
2015,1,5,23,0,7.63,11.19
2015,1,6,0,0,5.76,11.24
2015,1,6,1,0,5.83,12.05
2015,1,6,2,0,4.11,9.9
2015,1,6,3,0,3.83,9.67
2015,1,6,4,0,3.2,8.56
2015,1,6,5,0,2.42,7.07
2015,1,6,6,0,2.49,5.8
2015,1,6,7,0,3.4,5.21
2015,1,6,8,0,2.97,3.62
2015,1,6,9,0,2.98,3.31
2015,1,6,10,0,2.96,3.19
2015,1,6,11,0,3.29,3.59
2015,1,6,12,0,3.16,3.42
2015,1,6,13,0,3.88,4.39
2015,1,6,14,0,2.44,2.61
2015,1,6,15,0,2.14,2.31
2015,1,6,16,0,3.2600000000000002,3.88
2015,1,6,17,0,2.92,4.07
2015,1,6,18,0,2.34,3.1
2015,1,6,19,0,2.29,3.15
2015,1,6,20,0,1.76,3.95
2015,1,6,21,0,2.56,7.21
2015,1,6,22,0,3.52,8.61
2015,1,6,23,0,3.6,7.76
2015,1,7,0,0,3.24,7.18
2015,1,7,1,0,4.0200000000000005,7.42
2015,1,7,2,0,3.31,7.33
2015,1,7,3,0,3.7600000000000002,7.71
2015,1,7,4,0,3.75,7.5600000000000005
2015,1,7,5,0,3.37,7.25
2015,1,7,6,0,3.02,6.74
2015,1,7,7,0,3.04,7.23
2015,1,7,8,0,3.23,6.93
2015,1,7,9,0,5.91,7.890000000000001
2015,1,7,10,0,6.87,9.13
2015,1,7,11,0,7.3500000000000005,9.67
2015,1,7,12,0,7.9,10.72
2015,1,7,13,0,9.13,12.49
2015,1,7,14,0,7.16,9.81
2015,1,7,15,0,7,9.91
2015,1,7,16,0,6.63,14.44
2015,1,7,17,0,8.77,19.22
2015,1,7,18,0,12.07,17.62
2015,1,7,19,0,10.040000000000001,15.610000000000001
2015,1,7,20,0,9.25,13.07
2015,1,7,21,0,8.67,12.97
2015,1,7,22,0,10.15,14.85
2015,1,7,23,0,8.42,12.02
2015,1,8,0,0,8.31,12.23
2015,1,8,1,0,9.34,13.530000000000001
2015,1,8,2,0,8.94,13.43
2015,1,8,3,0,8.33,12.4
2015,1,8,4,0,7.63,12.24
2015,1,8,5,0,6.79,11.72
2015,1,8,6,0,4.23,8.44
2015,1,8,7,0,3.27,8.03
2015,1,8,8,0,4.67,6.890000000000001
2015,1,8,9,0,5.4,7.12
2015,1,8,10,0,6.08,7.58
2015,1,8,11,0,6.63,8.91
2015,1,8,12,0,6.24,8.370000000000001
2015,1,8,13,0,6.58,8.32
2015,1,8,14,0,5.23,6.38
2015,1,8,15,0,4.42,5.45
2015,1,8,16,0,3.5,5.43
2015,1,8,17,0,1.98,4.66
2015,1,8,18,0,2.27,6.73
2015,1,8,19,0,3.4,8.4
2015,1,8,20,0,3.2600000000000002,8.36
2015,1,8,21,0,2.24,7.37
2015,1,8,22,0,2.71,8.93
2015,1,8,23,0,1.98,9.6
2015,1,9,0,0,3.77,8.91
2015,1,9,1,0,1.68,9.25
2015,1,9,2,0,4.28,12.14
2015,1,9,3,0,4.24,12.16
2015,1,9,4,0,4.73,13.16
2015,1,9,5,0,6.09,15.43
2015,1,9,6,0,6.28,16.51
2015,1,9,7,0,7.08,18.17
2015,1,9,8,0,7.41,17.990000000000002
2015,1,9,9,0,9.42,17.98
2015,1,9,10,0,10.21,14.8
2015,1,9,11,0,9.89,13.950000000000001
2015,1,9,12,0,8.25,11.48
2015,1,9,13,0,7.75,10.68
2015,1,9,14,0,7.3,10.17
2015,1,9,15,0,7.22,10.11
2015,1,9,16,0,4.21,9.63
2015,1,9,17,0,2.24,8.26
2015,1,9,18,0,3.08,10.05
2015,1,9,19,0,4.59,10.91
2015,1,9,20,0,3.41,8.31
2015,1,9,21,0,3.56,8.58
2015,1,9,22,0,2.93,8.99
2015,1,9,23,0,2.71,8.21
2015,1,10,0,0,3.09,8.01
2015,1,10,1,0,3.17,9.21
2015,1,10,2,0,4.28,10.98
2015,1,10,3,0,3.86,9.69
2015,1,10,4,0,2.59,9.09
2015,1,10,5,0,3.81,9.620000000000001
2015,1,10,6,0,3.5700000000000003,8.88
