SiteID,4203002,Site Timezone,-5,Data Timezone,-5,Longitude,-72.663574,Latitude,40.921963
Year,Month,Day,Hour,Minute,wind speed at 10m (m/s),wind speed at 60m (m/s)
2014,1,1,0,0,5.48,12.71
2014,1,1,1,0,6.13,14.23
2014,1,1,2,0,6.49,14.620000000000001
2014,1,1,3,0,6.91,14.25
2014,1,1,4,0,6.69,13.8
2014,1,1,5,0,7.46,15.38
2014,1,1,6,0,6.22,13.57
2014,1,1,7,0,0.63,11.33
2014,1,1,8,0,4.43,11.65
2014,1,1,9,0,6.640000000000001,9.450000000000001
2014,1,1,10,0,6.34,8.88
2014,1,1,11,0,6.23,8.3
2014,1,1,12,0,6.34,8.13
2014,1,1,13,0,6.2700000000000005,8.01
2014,1,1,14,0,5.79,7.43
2014,1,1,15,0,5.38,6.97
2014,1,1,16,0,3.44,5.82
2014,1,1,17,0,1.04,5.01
2014,1,1,18,0,1.42,4.2
2014,1,1,19,0,1.03,4.13
2014,1,1,20,0,1.81,4.08
2014,1,1,21,0,3.68,6.99
2014,1,1,22,0,3.0100000000000002,5.47
2014,1,1,23,0,3.0300000000000002,5.26
2014,1,2,0,0,3.25,6.07
2014,1,2,1,0,3.9,6.75
2014,1,2,2,0,4.15,6.5200000000000005
2014,1,2,3,0,4.65,7.01
2014,1,2,4,0,5.23,7.69
2014,1,2,5,0,5.17,7.68
2014,1,2,6,0,5.25,7.69
2014,1,2,7,0,5.42,8.2
2014,1,2,8,0,6.3100000000000005,8.82
2014,1,2,9,0,6.57,9.19
2014,1,2,10,0,6.82,9.33
2014,1,2,11,0,6.59,9.18
2014,1,2,12,0,6.74,9.16
2014,1,2,13,0,7.43,10.23
2014,1,2,14,0,7.41,10.28
2014,1,2,15,0,7.5200000000000005,10.93
2014,1,2,16,0,7.59,11.25
2014,1,2,17,0,7.9,12.200000000000001
2014,1,2,18,0,7.46,12.92
2014,1,2,19,0,6.54,13.32
2014,1,2,20,0,7.57,13.47
2014,1,2,21,0,6.25,13.21
2014,1,2,22,0,6.55,13.36
2014,1,2,23,0,6.38,12.86
2014,1,3,0,0,8.32,13.39
2014,1,3,1,0,9.52,14.22
2014,1,3,2,0,10.66,15.33
2014,1,3,3,0,11.31,16.2
2014,1,3,4,0,11.42,16.29
2014,1,3,5,0,11.88,16.7
2014,1,3,6,0,11.9,17.080000000000002
2014,1,3,7,0,12.64,18.12
2014,1,3,8,0,11.63,16.35
2014,1,3,9,0,11.21,15.59
2014,1,3,10,0,10.83,14.68
2014,1,3,11,0,9.97,13.26
2014,1,3,12,0,9.6,12.5
2014,1,3,13,0,9.85,13.09
2014,1,3,14,0,8.040000000000001,10.370000000000001
2014,1,3,15,0,8.16,11.52
2014,1,3,16,0,6.96,14.530000000000001
2014,1,3,17,0,6.19,13.85
2014,1,3,18,0,5.7,13.41
2014,1,3,19,0,5.75,11.870000000000001
2014,1,3,20,0,5.1000000000000005,10.32
2014,1,3,21,0,0.98,8.43
2014,1,3,22,0,3,7.62
2014,1,3,23,0,3.4,7.41
