date,deficit_MW
2050-01-01,-551.7408333333333
2050-01-02,1210.3470833333333
2050-01-03,1298.32875
2050-01-04,178.92083333333332
2050-01-05,412.7208333333333
2050-01-06,1477.3591666666669
2050-01-07,338.92
2050-01-08,999.3008333333333
2050-01-09,101.99083333333338
2050-01-10,884.3783333333334
2050-01-11,413.63791666666674
2050-01-12,-133.89333333333332
2050-01-13,819.2695833333333
2050-01-14,1149.0779166666666
2050-01-15,341.0758333333334
2050-01-16,524.4070833333334
2050-01-17,57.71875000000002
2050-01-18,-670.0012499999999
2050-01-19,-439.03749999999997
2050-01-20,232.75249999999997
2050-01-21,1416.8791666666666
2050-01-22,1722.19625
2050-01-23,-165.80666666666664
2050-01-24,-574.3770833333333
2050-01-25,-1445.0062500000001
2050-01-26,-814.7341666666666
2050-01-27,-657.3829166666667
2050-01-28,1304.5029166666666
2050-01-29,1321.5679166666666
2050-01-30,1173.9437500000001
2050-01-31,1798.2433333333336
2050-02-01,841.3675
2050-02-02,1355.8670833333333
2050-02-03,-782.2945833333333
2050-02-04,1135.77125
2050-02-05,-916.0762500000001
2050-02-06,3101.68875
2050-02-07,2611.3579166666664
2050-02-08,1100.405
2050-02-09,1008.75375
2050-02-10,-747.9866666666667
2050-02-11,975.3562499999999
2050-02-12,1343.5383333333334
2050-02-13,-504.63916666666665
2050-02-14,744.3216666666667
2050-02-15,-966.74125
2050-02-16,-1267.8925
2050-02-17,1142.2195833333333
2050-02-18,702.3258333333333
2050-02-19,160.66541666666663
2050-02-20,-311.7445833333333
2050-02-21,1510.0258333333334
2050-02-22,-6.543333333333332
2050-02-23,-923.9329166666666
2050-02-24,-1252.7175
2050-02-25,-358.87708333333336
2050-02-26,703.9766666666668
2050-02-27,-268.0983333333333
2050-02-28,793.5658333333334
2050-03-01,1113.9416666666666
2050-03-02,-801.2624999999999
2050-03-03,-782.81875
2050-03-04,-1686.8045833333333
2050-03-05,251.89374999999995
2050-03-06,1265.8633333333335
2050-03-07,-1513.9958333333334
2050-03-08,-299.2333333333333
2050-03-09,-617.4616666666667
2050-03-10,-1227.5329166666668
2050-03-11,-504.3954166666667
2050-03-12,-1615.2920833333335
2050-03-13,-1269.5666666666666
2050-03-14,-2172.639166666667
2050-03-15,-1475.9570833333335
2050-03-16,-134.75625
2050-03-17,-462.7866666666667
2050-03-18,-274.22208333333333
2050-03-19,697.9058333333334
2050-03-20,342.0133333333333
2050-03-21,-1501.9333333333334
2050-03-22,-1769.3491666666666
2050-03-23,-2518.7258333333334
2050-03-24,-656.8595833333333
2050-03-25,-1320.6491666666666
2050-03-26,-101.34333333333335
2050-03-27,1582.6354166666667
2050-03-28,-617.4420833333332
2050-03-29,-651.8870833333334
2050-03-30,-179.28375000000003
2050-03-31,-2347.26375
2050-04-01,-847.6662500000001
2050-04-02,-681.6587499999999
2050-04-03,-880.7391666666667
2050-04-04,-745.5204166666667
2050-04-05,-1222.4770833333334
2050-04-06,-1429.9333333333334
2050-04-07,-1157.4833333333333
2050-04-08,-437.27708333333334
2050-04-09,18.27583333333331
2050-04-10,-553.11875
2050-04-11,-594.1208333333333
2050-04-12,-706.21125
2050-04-13,-1085.6979166666667
2050-04-14,131.72958333333332
2050-04-15,-1121.3408333333334
2050-04-16,-2526.2725
2050-04-17,-436.5933333333333
2050-04-18,-256.58625
2050-04-19,-1850.5333333333335
2050-04-20,-1853.1954166666667
2050-04-21,-1408.29
2050-04-22,-1071.3483333333334
2050-04-23,757.7325
2050-04-24,-1105.2120833333333
2050-04-25,-26.92083333333336
2050-04-26,-32.78999999999997
2050-04-27,309.22083333333336
2050-04-28,-385.45166666666665
2050-04-29,-1563.4770833333332
2050-04-30,-1647.7041666666667
2050-05-01,41.40999999999999
2050-05-02,-174.3575
2050-05-03,-336.6191666666667
2050-05-04,163.13000000000002
2050-05-05,-469.62999999999994
2050-05-06,-628.7854166666667
2050-05-07,-303.28000000000003
2050-05-08,216.06500000000003
2050-05-09,-1302.2704166666667
2050-05-10,267.3179166666667
2050-05-11,-434.36083333333335
2050-05-12,-565.7075
2050-05-13,-393.96208333333334
2050-05-14,661.3195833333333
2050-05-15,-1045.2604166666667
2050-05-16,-1619.3783333333333
2050-05-17,-516.1175
2050-05-18,-881.3754166666668
2050-05-19,-372.12083333333334
2050-05-20,-3.647916666666665
2050-05-21,2123.75
2050-05-22,775.6495833333333
2050-05-23,1227.5075
2050-05-24,-89.26833333333333
2050-05-25,-405.6520833333334
2050-05-26,-445.92833333333334
2050-05-27,-284.2916666666667
2050-05-28,-1038.2570833333332
2050-05-29,-711.6716666666666
2050-05-30,-200.34083333333334
2050-05-31,290.4891666666667
2050-06-01,1758.8404166666667
2050-06-02,2053.9024999999997
2050-06-03,215.09208333333336
2050-06-04,1931.1654166666667
2050-06-05,999.2216666666667
2050-06-06,890.8870833333334
2050-06-07,682.8729166666667
2050-06-08,-172.95000000000002
2050-06-09,-262.4141666666667
2050-06-10,-232.68291666666664
2050-06-11,-1593.9658333333334
2050-06-12,436.82166666666666
2050-06-13,981.5929166666666
2050-06-14,665.8425
2050-06-15,478.9708333333333
2050-06-16,729.8833333333333
2050-06-17,1523.7654166666669
2050-06-18,280.56374999999997
2050-06-19,981.16375
2050-06-20,711.47375
2050-06-21,371.0220833333333
2050-06-22,568.6750000000001
2050-06-23,185.1429166666667
2050-06-24,1322.0045833333334
2050-06-25,2515.2816666666668
2050-06-26,1666.2791666666665
2050-06-27,-209.70000000000002
2050-06-28,1251.62875
2050-06-29,997.9562500000001
2050-06-30,157.0895833333333
2050-07-01,458.46583333333336
2050-07-02,1114.4683333333332
2050-07-03,2073.5383333333334
2050-07-04,3437.2816666666663
2050-07-05,2052.8970833333333
2050-07-06,2616.8645833333335
2050-07-07,1067.85375
2050-07-08,1811.7545833333334
2050-07-09,1906.8825
2050-07-10,1119.19
2050-07-11,1450.32625
2050-07-12,1084.6683333333333
2050-07-13,1465.3329166666665
2050-07-14,1480.7395833333333
2050-07-15,2766.900416666667
2050-07-16,1473.45375
2050-07-17,2198.1033333333335
2050-07-18,1468.3566666666666
2050-07-19,1732.006666666667
2050-07-20,1662.9270833333333
2050-07-21,1363.1966666666667
2050-07-22,1562.5616666666665
2050-07-23,1062.9583333333333
2050-07-24,2050.8954166666667
2050-07-25,2415.1633333333334
2050-07-26,2241.3854166666665
2050-07-27,1589.1241666666667
2050-07-28,2357.6687500000003
2050-07-29,1226.4470833333332
2050-07-30,2115.88625
2050-07-31,2197.0366666666664
2050-08-01,2168.3883333333333
2050-08-02,1228.7225
2050-08-03,1299.8741666666667
2050-08-04,1193.3583333333333
2050-08-05,2189.86875
2050-08-06,2084.275416666667
2050-08-07,718.9870833333333
2050-08-08,1199.91875
2050-08-09,1742.9937499999999
2050-08-10,1947.0545833333333
2050-08-11,1602.1445833333335
2050-08-12,639.3916666666667
2050-08-13,1214.6054166666668
2050-08-14,1838.9225
2050-08-15,2351.329166666667
2050-08-16,733.9295833333334
2050-08-17,2017.6375
2050-08-18,1811.6683333333333
2050-08-19,2197.6266666666666
2050-08-20,2693.28
2050-08-21,1455.32
