hour,load_MW,wind_MW,solar_MW,gen_total_MW,surplus_MW
0,4264.5,7050.44,0.0,7050.44,2785.94
1,4073.31,6912.2,0.0,6912.2,2838.89
2,3803.21,6810.23,0.0,6810.23,3007.02
3,3658.13,6665.43,0.0,6665.43,3007.3
4,3563.67,6483.46,0.92,6484.38,2920.71
5,3537.12,6233.93,369.83,6603.76,3066.64
6,3632.4,6122.21,586.02,6708.23,3075.83
7,3764.74,5973.53,1259.3,7232.83,3468.09
8,3899.31,5680.0,2034.69,7714.69,3815.38
9,4085.49,5404.34,2666.53,8070.87,3985.38
10,4146.92,5243.46,3043.81,8287.27,4140.35
11,4208.43,4971.2,3235.28,8206.48,3998.05
12,4287.5,4941.07,3266.29,8207.36,3919.86
13,4324.27,4916.51,2988.95,7905.46,3581.19
14,4384.95,5218.76,2445.34,7664.1,3279.15
15,4485.34,5700.28,1797.2,7497.48,3012.14
16,4729.92,6202.58,976.16,7178.74,2448.82
17,5043.03,6722.49,403.12,7125.61,2082.58
18,5425.1,7102.39,117.36,7219.75,1794.65
19,5540.99,7467.13,0.33,7467.46,1926.47
20,5509.2,7576.64,0.0,7576.64,2067.44
21,5339.41,7613.76,0.0,7613.76,2274.35
22,5021.43,7427.91,0.0,7427.91,2406.48
23,4659.75,7224.04,0.0,7224.04,2564.29
